第0类---------------------
发展 我国 我们 实现 重大 广大 取得 建立 领导 全国 任务 航天 实验室 党中央 空间 
创新 技术 经济 产业 作用 支撑 动能 产品 业态 蓬勃发展 越来越 驱动力 明显增强 
发展 提高 资源 提升 不断 环境 要素 高质量 科技进步 应该 效率 资本 贡献率 生产率 投入产出 
创新 科技 优势 能力 转化 抓住 这个 充分 作战 科技含量 牛鼻子 释放出来 部队 
创新 科技 建设 加强 研究 体系 推进 提高 形成 能力 不断 积极 水平 增强 改革 
技术 研究 组织 开展 攻关 治理 科研机构 超前 以及 防治 污染 专项 污染物 臭氧 有机物 
发展 推动 领域 融合 形成 工作 变革 重点 要素 市场 深度 活力 机遇 当前 把握 
发展 我国 中国 重要 核心技术 资源 人民 成为 创造 制度 社会主义 智慧 掌握 自己 开发 
我们 发挥 优势 核心技术 必须 创造 制度 社会主义 自己 关键技术 这样 集中力量 自身 科技攻关 重器 
科技 技术 加快 世界 实现 制造业 装备 高峰 重大突破 勇攀 芯片 心脏 相当于 存储 半导体 
创新 加强 战略 研究 具有 组织 更加 科研 模式 突出 理论 起来 位置 军事 谋划 
创新 科技 推动 加强 合作 领域 推进 坚持 融合 形成 改革 机制 科研 制度 活力 
科技 我们 中国 实现 创新能力 具有 必须 现代化 强国 社会主义 目标 中华民族 实力 伟大 强大 
创新 科技 发展 我国 我们 中国 领域 世界 自主 坚持 优势 动力 第一 方向 未来 
创新 科技 发展 国家 加强 我们 体系 重大 坚持 提升 能力 不断 改革 驱动 经济社会 
创新 科技 发展 我们 人才 战略 国际 坚持 全球 资源 不断 具有 水平 创造 环境 
创新 科技 我国 我们 世界 国际 重要 坚持 全球 人类 成为 水平 治理 深入 网络 
创新 科技 国家 我们 人才 企业 体系 形成 成果 方面 增强 改革 完善 重点 转化 
创新 技术 国家 科学 突破 融合 人民 科学技术 提供 海洋 生活 能源 制造 生命 命运 
创新 科技 我国 重要 实现 重大 突破 提升 能力 成果 方向 前沿 领导 全国 进入 
发展 国家 科学 工作 支持 积极 精神 希望 贡献 鼓励 院士 生活 继续 政府 智慧 
创新 科技 建设 加强 我们 中国 世界 实现 社会 坚持 精神 强国 政府 方向 领导 
创新 科技 推动 加强 提高 工作者 不断 成为 增强 创造 服务 科研 管理 领导 规律 
创新 科技 建设 我们 科学 中国 世界 科学技术 成为 需要 努力 强国 中心 目标 历史 
创新 科技 发展 我国 世界 问题 工作者 广大 引领 方向 把握 时代 挑战 历史 科技前沿 
创新 科技 发展 国家 我国 我们 世界 自主 工作者 广大 积极 创新能力 必须 增强 未来 
创新 发展 技术 经济 国家 我们 自主 关键 核心技术 增强 安全 现代 引领 保障 技术创新 
创新 科技 发展 我们 领域 自主 重要 体系 推进 突破 提升 不断 全面 需要 改革 
