原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
1.依靠科技的力量来开发、利用原来不能利用的资源。例如，我们有那么多的海涂，能不能依靠科技的进步把它变成我们重要的土地资源？！依靠科技的进步，还可以使现有的资源利用得以延伸。这包括使潜在资源优势变为现实资源优势，使资源产品变为资源商品，使资源的初加工变为精深加工，使资源的一次增值变为多次增值。比如，毛竹是我们的一大资源，我们不能单纯出售原竹，而要发展笋罐头、竹编工艺品和制品，实现综合利用和多次增值。,资源,8.0,资源,资源,科技
,我们,4.0,变为,变为,发展
,变为,4.0,增值,增值,我们
,科技,3.0,依靠,依靠,重要
,增值,3.0,资源优势,资源优势,实现
,利用,3.0,科技,科技,资源
,依靠,3.0,利用,利用,力量
,不能,3.0,我们,我们,依靠
,进步,2.0,进步,进步,产品
,资源优势,2.0,不能,不能,开发
,多次,2.0,原竹,原竹,进步
,重要,1.0,多次,多次,利用
,那么,1.0,初加工,初加工,现实
,罐头,1.0,海涂,海涂,包括
,综合利用,1.0,精深,精深,可以
,精深,1.0,,,
,竹编,1.0,,,
,现有,1.0,,,
,现实,1.0,,,
,潜在,1.0,,,
,海涂,1.0,,,
,毛竹,1.0,,,
,比如,1.0,,,
,得以,1.0,,,
,开发,1.0,,,
,延伸,1.0,,,
,工艺品,1.0,,,
,实现,1.0,,,
,土地,1.0,,,
,商品,1.0,,,
,可以,1.0,,,
,变成,1.0,,,
,发展,1.0,,,
,原竹,1.0,,,
,原来,1.0,,,
,单纯,1.0,,,
,包括,1.0,,,
,加工,1.0,,,
,力量,1.0,,,
,制品,1.0,,,
,初加工,1.0,,,
,出售,1.0,,,
,例如,1.0,,,
,产品,1.0,,,
,一次,1.0,,,
,一大,1.0,,,
,,,,,
2.依靠科学技术进步，以节约要素的投入。这一点突出地表现在品种改良、栽培管理和施肥技术上。首先，改良后的新品种，可以在其他投入要素不变或少量增加的情况下，使产量获得较大幅度的增长。其次，采用先进的栽培管理技术，可以解决原来生产上难以解决的矛盾，并节约工本。第三，先进的施肥技术，可以大大提高肥料的利用率。,技术,3.0,施肥,施肥,技术
,可以,3.0,节约,节约,科学技术
,要素,2.0,栽培,栽培,先进
,节约,2.0,技术,技术,生产
,管理,2.0,要素,要素,要素
,栽培,2.0,先进,先进,投入
,施肥,2.0,工本,工本,管理
,投入,2.0,投入,投入,解决
,先进,2.0,品种改良,品种改良,依靠
,首先,1.0,难以解决,难以解决,增长
,难以解决,1.0,可以,可以,进步
,采用,1.0,管理,管理,突出
,进步,1.0,新品种,新品种,节约
,解决,1.0,肥料,肥料,可以
,获得,1.0,利用率,利用率,其他
,肥料,1.0,,,
,第三,1.0,,,
,突出,1.0,,,
,科学技术,1.0,,,
,矛盾,1.0,,,
,生产,1.0,,,
,现在,1.0,,,
,新品种,1.0,,,
,改良,1.0,,,
,情况,1.0,,,
,工本,1.0,,,
,少量,1.0,,,
,大幅度,1.0,,,
,大大提高,1.0,,,
,增长,1.0,,,
,增加,1.0,,,
,地表,1.0,,,
,品种改良,1.0,,,
,原来,1.0,,,
,利用率,1.0,,,
,其次,1.0,,,
,其他,1.0,,,
,依靠,1.0,,,
,产量,1.0,,,
,不变,1.0,,,
,一点,1.0,,,
,,,,,
